time_in_seconds;cap_sensor;licht;temperatur
5996;1745.494628906250;1112.893798828125;988.791259765625
6014;1746.300415039062;1105.641113281250;1008.937744140625
6031;1754.359008789062;1120.146606445312;1012.967041015625
6049;1748.718017578125;1110.476196289062;1004.102600097656
6067;1751.941528320312;1108.864501953125;1002.490905761719
6084;1732.600830078125;1107.252807617188;1001.684997558594
6102;1747.912231445312;1109.670410156250;1001.684997558594
6120;1746.300415039062;1109.670410156250;1000.879150390625
6138;1729.377441406250;1004.102600097656;1004.908447265625
6155;1749.523925781250;1710.036743164062;1008.937744140625
6173;1748.718017578125;944.468933105469;992.014709472656
6190;1766.447021484375;950.109924316406;1012.967041015625
6208;1758.388427734375;950.109924316406;1008.937744140625
6226;1712.454345703125;950.915771484375;1017.802246093750
6243;1766.447021484375;950.915771484375;1014.578796386719
6261;1759.194213867188;917.069641113281;1008.131896972656
6279;1757.582519531250;917.875488281250;1013.772949218750
6296;1760.000122070312;918.681335449219;1000.073303222656
6314;1743.882934570312;921.098937988281;1002.490905761719
6332;1758.388427734375;922.710693359375;998.461547851562
6349;1764.029418945312;921.098937988281;1002.490905761719
6367;1749.523925781250;916.263793945312;1016.996398925781
6385;1760.000122070312;921.098937988281;1011.355346679688
6402;1756.776611328125;922.710693359375;998.461547851562
6420;1761.611816406250;903.369995117188;1008.937744140625
6438;1755.970825195312;920.293090820312;1010.549499511719
6455;1751.135620117188;925.934082031250;1000.073303222656
6473;1755.164916992188;921.904785156250;1010.549499511719
6491;1751.941528320312;920.293090820312;1008.937744140625
6508;1756.776611328125;922.710693359375;1001.684997558594
6526;1768.864501953125;922.710693359375;1014.578796386719
6544;1760.000122070312;923.516540527344;1016.190490722656
6561;1747.106323242188;919.487243652344;1017.802246093750
6579;1743.077026367188;925.934082031250;998.461547851562
6597;1750.329711914062;920.293090820312;1017.802246093750
6614;1747.912231445312;923.516540527344;996.849853515625
6632;1759.194213867188;921.098937988281;1008.937744140625
6650;1757.582519531250;921.098937988281;1016.190490722656
6667;1767.252807617188;919.487243652344;1020.219787597656
6685;1766.447021484375;921.904785156250;996.044006347656
6703;1764.835205078125;923.516540527344;998.461547851562
6720;1743.882934570312;922.710693359375;1008.937744140625
6738;1753.553222656250;922.710693359375;1012.161193847656
6756;1774.505615234375;921.904785156250;1009.743652343750
6773;1757.582519531250;924.322387695312;997.655700683594
6791;1755.970825195312;924.322387695312;1013.772949218750
6809;1754.359008789062;928.351684570312;998.461547851562
6826;1758.388427734375;938.827880859375;1000.879150390625
6844;1750.329711914062;933.186828613281;1012.967041015625
6862;1755.970825195312;922.710693359375;1015.384643554688
6879;1764.835205078125;925.934082031250;1015.384643554688
6897;1753.553222656250;925.934082031250;1006.520202636719
6915;1764.835205078125;927.545837402344;1012.161193847656
6932;1770.476318359375;924.322387695312;995.238159179688
6950;1770.476318359375;921.904785156250;1014.578796386719
6968;1759.194213867188;923.516540527344;1011.355346679688
6985;1754.359008789062;925.934082031250;997.655700683594
7003;1749.523925781250;922.710693359375;1014.578796386719
7021;1747.106323242188;924.322387695312;1011.355346679688
7038;1756.776611328125;925.934082031250;996.849853515625
7056;1745.494628906250;925.934082031250;996.849853515625
7074;1751.135620117188;926.739990234375;999.267456054688
7091;1772.893920898438;925.128234863281;1004.908447265625
7109;1755.970825195312;928.351684570312;995.238159179688
7127;1766.447021484375;924.322387695312;1016.996398925781
7144;1746.300415039062;928.351684570312;1000.879150390625
7162;1760.000122070312;925.128234863281;998.461547851562
7180;1753.553222656250;922.710693359375;1011.355346679688
7197;1741.465332031250;924.322387695312;996.044006347656
7215;1756.776611328125;923.516540527344;1008.937744140625
7233;1764.835205078125;924.322387695312;1008.131896972656
7250;1752.747314453125;925.934082031250;997.655700683594
7268;1766.447021484375;925.934082031250;1000.073303222656
7286;1760.000122070312;924.322387695312;1009.743652343750
7303;1759.194213867188;927.545837402344;1000.879150390625
7321;1759.194213867188;924.322387695312;1025.054931640625
7339;1760.000122070312;924.322387695312;1009.743652343750
7356;1746.300415039062;928.351684570312;1000.879150390625
7374;1760.000122070312;922.710693359375;1003.296752929688
7392;1748.718017578125;925.934082031250;1006.520202636719
7409;1754.359008789062;937.216186523438;1012.967041015625
7427;1751.135620117188;925.934082031250;992.014709472656
7445;1756.776611328125;924.322387695312;1006.520202636719
7463;1751.135620117188;921.904785156250;1013.772949218750
7480;1761.611816406250;921.904785156250;1009.743652343750
7498;1743.077026367188;922.710693359375;1010.549499511719
7516;1748.718017578125;924.322387695312;1017.802246093750
7533;1764.029418945312;937.216186523438;1016.996398925781
7551;1755.970825195312;925.128234863281;1000.879150390625
7569;1758.388427734375;920.293090820312;972.674011230469
7586;1747.912231445312;924.322387695312;979.120910644531
7604;1765.641113281250;922.710693359375;1008.937744140625
7622;1761.611816406250;925.128234863281;1013.772949218750
7639;1760.000122070312;926.739990234375;997.655700683594
7657;1756.776611328125;926.739990234375;1011.355346679688
7675;1762.417724609375;924.322387695312;1012.967041015625
7692;1759.194213867188;925.934082031250;1009.743652343750
7710;1762.417724609375;925.128234863281;1001.684997558594
7728;1772.893920898438;924.322387695312;992.014709472656
7745;1740.659423828125;923.516540527344;1014.578796386719
7763;1755.164916992188;928.351684570312;1017.802246093750
7781;1749.523925781250;925.934082031250;1014.578796386719
7798;1758.388427734375;926.739990234375;1023.443237304688
7816;1753.553222656250;923.516540527344;1003.296752929688
7834;1751.941528320312;927.545837402344;1010.549499511719
7851;1763.223510742188;925.934082031250;1020.219787597656
